# narrate replay uk100fut 2026-08-10 00:00:00+00:00 -> 2026-08-14 10:00:00+00:00 stack 1h/15min/1min (narrative-only=True)
# convention: bars stamped by CLOSE time; store/TradingView open-time stamp = close - TF
# state @ window start: 1h: phase=RANGING trend=+1 age=0 atr=21.2 close=10896.4 | 15min: phase=RANGING trend=-1 age=17 atr=6.1 close=10896.1; active hypotheses: none
timestamp_close_iso,timestamp_open_iso,marker_type,price_level,direction,segment,outcome,gate_branch,strength_trajectory,variant,entry,stop,exit,location_ref,location_level,dist_pts,dist_signal_atr
2026-08-11T10:24:00+00:00,2026-08-11T10:23:00+00:00,EFFORTLESS_ADVANCE_3min_OBSERVATIONAL,10862.6,,cash,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-11T10:25:00+00:00,2026-08-11T10:24:00+00:00,EFFORTLESS_ADVANCE_5min_OBSERVATIONAL,10863.1,,cash,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-11T10:27:00+00:00,2026-08-11T10:26:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10865.1,SHORT,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10865.5,-0.4,-0.03
2026-08-11T10:29:00+00:00,2026-08-11T10:28:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10864.6,SHORT,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10865.5,-0.9,-0.06
2026-08-11T10:30:00+00:00,2026-08-11T10:29:00+00:00,UPTHRUST_3min_OBSERVATIONAL,10864.6,SHORT,cash,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-11T11:01:00+00:00,2026-08-11T11:00:00+00:00,EFFORTLESS_DECLINE_1min_OBSERVATIONAL,10866.3,,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10865.5,0.8,0.06
2026-08-11T11:02:00+00:00,2026-08-11T11:01:00+00:00,POTENTIAL_BUYING_CLIMAX_1min_OBSERVATIONAL,10878.6,,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10879.1,-0.5,-0.04
2026-08-11T11:17:00+00:00,2026-08-11T11:16:00+00:00,EFFORTLESS_DECLINE_1min_OBSERVATIONAL,10866.1,,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10865.5,0.6,0.05
2026-08-11T11:24:00+00:00,2026-08-11T11:23:00+00:00,TEST_3min_OBSERVATIONAL,10858.1,,cash,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-11T11:57:00+00:00,2026-08-11T11:56:00+00:00,APATHY_1min_OBSERVATIONAL,10871.6,,cash,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10871.1,0.5,0.04
